Geography,Estimate; Median value (dollars),Year
Accomack,145600,2009
Albemarle,336100,2009
Alleghany,103800,2009
Amelia,170000,2009
Amherst,136500,2009
Appomattox,119900,2009
Arlington,565100,2009
Augusta,176800,2009
Bath,126900,2009
Bedford,149450,2009
Bland,86900,2009
Botetourt,189900,2009
Brunswick,92000,2009
Buchanan,63200,2009
Buckingham,109500,2009
Campbell,127500,2009
Caroline,218300,2009
Carroll,92800,2009
Charles City,145600,2009
Charlotte,94300,2009
Chesterfield,225400,2009
Clarke,349600,2009
Craig,147500,2009
Culpeper,319500,2009
Cumberland,141600,2009
Dickenson,67000,2009
Dinwiddie,152000,2009
Essex,182000,2009
Fairfax,520500,2009
Fauquier,394800,2009
Floyd,127100,2009
Fluvanna,236200,2009
Franklin,151500,2009
Frederick,255900,2009
Giles,90800,2009
Gloucester,212300,2009
Goochland,307600,2009
Grayson,84300,2009
Greene,215000,2009
Greensville,82500,2009
Halifax,89600,2009
Hanover,269300,2009
Henrico,223500,2009
Henry,88100,2009
Highland,163800,2009
Isle of Wight,237700,2009
James City,334100,2009
King and Queen,155700,2009
King George,307600,2009
King William,193800,2009
Lancaster,236700,2009
Lee,73300,2009
Loudoun,508300,2009
Louisa,202300,2009
Lunenburg,98700,2009
Madison,245800,2009
Mathews,201400,2009
Mecklenburg,103300,2009
Middlesex,242800,2009
Montgomery,177600,2009
Nelson,161200,2009
New Kent,240800,2009
Northampton,211700,2009
Northumberland,234600,2009
Nottoway,120700,2009
Orange,246500,2009
Page,159400,2009
Patrick,99400,2009
Pittsylvania,99100,2009
Powhatan,281400,2009
Prince Edward,139300,2009
Prince George,196300,2009
Prince William,393300,2009
Pulaski,108600,2009
Rappahannock,393800,2009
Richmond,137700,2009
Roanoke,177100,2009
Rockbridge,179100,2009
Rockingham,184500,2009
Russell,82400,2009
Scott,82500,2009
Shenandoah,212100,2009
Smyth,85500,2009
Southampton,150300,2009
Spotsylvania,311600,2009
Stafford,364900,2009
Surry,166900,2009
Sussex,111200,2009
Tazewell,76200,2009
Warren,255900,2009
Washington,118500,2009
Westmoreland,184400,2009
Wise,73600,2009
Wythe,99800,2009
York,316100,2009
Alexandria city,489300,2009
Bristol city,89600,2009
Buena Vista city,126000,2009
Charlottesville city,265300,2009
Chesapeake city,263100,2009
Colonial Heights city,169900,2009
Covington city,63400,2009
Danville city,88800,2009
Emporia city,96700,2009
Fairfax city,493800,2009
Falls Church city,655600,2009
Franklin city,178600,2009
Fredericksburg city,324200,2009
Galax city,82300,2009
Hampton city,179800,2009
Harrisonburg city,196800,2009
Hopewell city,121900,2009
Lexington city,245600,2009
Lynchburg city,130900,2009
Manassas city,344400,2009
Manassas Park city,326600,2009
Martinsville city,80600,2009
Newport News city,189500,2009
Norfolk city,197100,2009
Norton city,78600,2009
Petersburg city,109800,2009
Poquoson city,304400,2009
Portsmouth city,169800,2009
Radford city,141200,2009
Richmond city,192400,2009
Roanoke city,121200,2009
Salem city,157800,2009
Staunton city,155200,2009
Suffolk city,243900,2009
Virginia Beach city,268600,2009
Waynesboro city,159700,2009
Williamsburg city,311200,2009
Winchester city,262400,2009
Accomack,149800,2010
Albemarle,349800,2010
Alleghany,104000,2010
Amelia,189800,2010
Amherst,142200,2010
Appomattox,132200,2010
Arlington,571700,2010
Augusta,187800,2010
Bath,129700,2010
Bedford,163150,2010
Bland,88600,2010
Botetourt,202500,2010
Brunswick,97500,2010
Buchanan,62000,2010
Buckingham,99300,2010
Campbell,134000,2010
Caroline,218800,2010
Carroll,97400,2010
Charles City,146000,2010
Charlotte,103200,2010
Chesterfield,235600,2010
Clarke,366900,2010
Craig,142100,2010
Culpeper,309000,2010
Cumberland,149700,2010
Dickenson,71300,2010
Dinwiddie,163800,2010
Essex,185400,2010
Fairfax,507800,2010
Fauquier,390900,2010
Floyd,138800,2010
Fluvanna,246100,2010
Franklin,156100,2010
Frederick,248600,2010
Giles,97800,2010
Gloucester,228100,2010
Goochland,338000,2010
Grayson,92200,2010
Greene,223100,2010
Greensville,94600,2010
