Geography,Year,EmploymentPopulationRatio
Accomack,2009,57.0
Albemarle,2009,61.6
Alleghany,2009,56.0
Amelia,2009,56.8
Amherst,2009,58.8
Appomattox,2009,57.3
Arlington,2009,74.0
Augusta,2009,58.5
Bath,2009,57.0
Bedford,2009,63.7
Bland,2009,48.3
Botetourt,2009,62.7
Brunswick,2009,42.7
Buchanan,2009,38.4
Buckingham,2009,29.7
Campbell,2009,61.2
Caroline,2009,62.0
Carroll,2009,54.1
Charles City,2009,58.1
Charlotte,2009,52.4
Chesterfield,2009,68.9
Clarke,2009,64.5
Craig,2009,63.5
Culpeper,2009,63.2
Cumberland,2009,52.5
Dickenson,2009,38.7
Dinwiddie,2009,57.3
Essex,2009,62.3
Fairfax,2009,69.1
Fauquier,2009,68.3
Floyd,2009,58.9
Fluvanna,2009,60.2
Franklin,2009,56.3
Frederick,2009,66.6
Giles,2009,51.9
Gloucester,2009,62.4
Goochland,2009,38.8
Grayson,2009,53.3
Greene,2009,65.9
Greensville,2009,44.3
Halifax,2009,50.5
Hanover,2009,67.4
Henrico,2009,66.5
Henry,2009,54.1
Highland,2009,57.4
Isle of Wight,2009,63.2
James City,2009,59.8
King and Queen,2009,54.9
King George,2009,60.0
King William,2009,67.7
Lancaster,2009,49.4
Lee,2009,47.8
Loudoun,2009,73.9
Louisa,2009,61.1
Lunenburg,2009,47.3
Madison,2009,63.9
Mathews,2009,49.3
Mecklenburg,2009,49.9
Middlesex,2009,50.6
Montgomery,2009,55.3
Nelson,2009,56.1
New Kent,2009,65.2
Northampton,2009,54.4
Northumberland,2009,50.9
Nottoway,2009,51.3
Orange,2009,57.1
Page,2009,56.9
Patrick,2009,50.8
Pittsylvania,2009,56.7
Powhatan,2009,45.1
Prince Edward,2009,52.2
Prince George,2009,49.9
Prince William,2009,70.6
Pulaski,2009,52.5
Rappahannock,2009,64.8
Richmond,2009,53.3
Roanoke,2009,64.5
Rockbridge,2009,61.1
Rockingham,2009,64.8
Russell,2009,48.9
Scott,2009,49.5
Shenandoah,2009,61.2
Smyth,2009,50.5
Southampton,2009,54.5
Spotsylvania,2009,65.1
Stafford,2009,63.4
Surry,2009,59.6
Sussex,2009,51.2
Tazewell,2009,49.1
Warren,2009,65.7
Washington,2009,55.5
Westmoreland,2009,55.0
Wise,2009,46.1
Wythe,2009,58.3
York,2009,57.2
Alexandria city,2009,71.6
Bedford city,2009,61.3
Bristol city,2009,50.2
Buena Vista city,2009,57.4
Charlottesville city,2009,55.2
Chesapeake city,2009,63.1
Colonial Heights city,2009,57.1
Covington city,2009,50.6
Danville city,2009,48.3
Emporia city,2009,50.6
Fairfax city,2009,64.5
Falls Church city,2009,63.4
Franklin city,2009,50.2
Fredericksburg city,2009,55.8
Galax city,2009,43.5
Hampton city,2009,58.1
Harrisonburg city,2009,48.9
Hopewell city,2009,52.1
Lexington city,2009,31.6
Lynchburg city,2009,53.1
Manassas city,2009,68.8
Manassas Park city,2009,73.4
Martinsville city,2009,46.9
Newport News city,2009,58.7
Norfolk city,2009,52.7
Norton city,2009,59.0
Petersburg city,2009,50.9
Poquoson city,2009,61.1
Portsmouth city,2009,56.2
Radford city,2009,44.7
Richmond city,2009,57.2
Roanoke city,2009,56.6
Salem city,2009,59.1
Staunton city,2009,54.8
Suffolk city,2009,60.4
Virginia Beach city,2009,61.6
Waynesboro city,2009,55.4
Williamsburg city,2009,42.0
Winchester city,2009,65.2
Accomack,2010,54.4
Albemarle,2010,61.6
Alleghany,2010,54.9
Amelia,2010,56.9
Amherst,2010,57.8
Appomattox,2010,58.4
Arlington,2010,74.4
Augusta,2010,57.6
Bath,2010,59.4
Bedford,2010,61.2
Bland,2010,47.3
Botetourt,2010,61.9
Brunswick,2010,42.0
Buchanan,2010,35.9
Buckingham,2010,25.9
Campbell,2010,59.8
