,STNAME,CTYNAME,YEAR,TOT_POP
0,Virginia,Accomack County,2004,36310
1,Virginia,Accomack County,2005,35835
2,Virginia,Accomack County,2006,35192
3,Virginia,Accomack County,2007,34553
4,Virginia,Accomack County,2008,33970
5,Virginia,Accomack County,2009,33415
6,Virginia,Accomack County,2010,33202
7,Virginia,Albemarle County,2004,89491
8,Virginia,Albemarle County,2005,91676
9,Virginia,Albemarle County,2006,93852
10,Virginia,Albemarle County,2007,95009
11,Virginia,Albemarle County,2008,97081
12,Virginia,Albemarle County,2009,98071
13,Virginia,Albemarle County,2010,99150
14,Virginia,Alleghany County,2004,16645
15,Virginia,Alleghany County,2005,16580
16,Virginia,Alleghany County,2006,16564
17,Virginia,Alleghany County,2007,16530
18,Virginia,Alleghany County,2008,16404
19,Virginia,Alleghany County,2009,16306
20,Virginia,Alleghany County,2010,16228
21,Virginia,Amelia County,2004,11712
22,Virginia,Amelia County,2005,11943
23,Virginia,Amelia County,2006,12250
24,Virginia,Amelia County,2007,12447
25,Virginia,Amelia County,2008,12563
26,Virginia,Amelia County,2009,12594
27,Virginia,Amelia County,2010,12729
28,Virginia,Amherst County,2004,31783
29,Virginia,Amherst County,2005,31955
30,Virginia,Amherst County,2006,32094
31,Virginia,Amherst County,2007,32203
32,Virginia,Amherst County,2008,32510
33,Virginia,Amherst County,2009,32447
34,Virginia,Amherst County,2010,32319
35,Virginia,Appomattox County,2004,13916
36,Virginia,Appomattox County,2005,13981
37,Virginia,Appomattox County,2006,14215
38,Virginia,Appomattox County,2007,14425
39,Virginia,Appomattox County,2008,14795
40,Virginia,Appomattox County,2009,14812
41,Virginia,Appomattox County,2010,15019
42,Virginia,Arlington County,2004,187901
43,Virginia,Arlington County,2005,187760
44,Virginia,Arlington County,2006,188176
45,Virginia,Arlington County,2007,190759
46,Virginia,Arlington County,2008,196305
47,Virginia,Arlington County,2009,202637
48,Virginia,Arlington County,2010,209457
49,Virginia,Augusta County,2004,68899
50,Virginia,Augusta County,2005,69949
51,Virginia,Augusta County,2006,71896
52,Virginia,Augusta County,2007,73041
53,Virginia,Augusta County,2008,73555
54,Virginia,Augusta County,2009,73844
55,Virginia,Augusta County,2010,73668
56,Virginia,Bath County,2004,4934
57,Virginia,Bath County,2005,4891
58,Virginia,Bath County,2006,4823
59,Virginia,Bath County,2007,4835
60,Virginia,Bath County,2008,4778
61,Virginia,Bath County,2009,4743
62,Virginia,Bath County,2010,4714
63,Virginia,Bedford County,2004,63563
64,Virginia,Bedford County,2005,64825
65,Virginia,Bedford County,2006,66363
66,Virginia,Bedford County,2007,67392
67,Virginia,Bedford County,2008,67594
68,Virginia,Bedford County,2009,68399
69,Virginia,Bedford County,2010,68735
70,Virginia,Bland County,2004,6913
71,Virginia,Bland County,2005,6873
72,Virginia,Bland County,2006,6840
73,Virginia,Bland County,2007,6930
74,Virginia,Bland County,2008,6921
75,Virginia,Bland County,2009,6868
76,Virginia,Bland County,2010,6808
77,Virginia,Botetourt County,2004,31715
78,Virginia,Botetourt County,2005,31803
79,Virginia,Botetourt County,2006,32491
80,Virginia,Botetourt County,2007,32681
81,Virginia,Botetourt County,2008,32955
82,Virginia,Botetourt County,2009,33042
83,Virginia,Botetourt County,2010,33165
84,Virginia,Brunswick County,2004,17981
85,Virginia,Brunswick County,2005,17981
86,Virginia,Brunswick County,2006,18011
87,Virginia,Brunswick County,2007,17823
88,Virginia,Brunswick County,2008,17791
89,Virginia,Brunswick County,2009,17507
90,Virginia,Brunswick County,2010,17404
91,Virginia,Buchanan County,2004,25647
92,Virginia,Buchanan County,2005,25315
93,Virginia,Buchanan County,2006,25009
94,Virginia,Buchanan County,2007,24670
95,Virginia,Buchanan County,2008,24371
96,Virginia,Buchanan County,2009,24234
97,Virginia,Buchanan County,2010,24012
98,Virginia,Buckingham County,2004,16168
99,Virginia,Buckingham County,2005,16401
100,Virginia,Buckingham County,2006,16547
101,Virginia,Buckingham County,2007,16737
102,Virginia,Buckingham County,2008,16819
103,Virginia,Buckingham County,2009,17148
104,Virginia,Buckingham County,2010,17120
105,Virginia,Campbell County,2004,52093
106,Virginia,Campbell County,2005,52795
107,Virginia,Campbell County,2006,53475
108,Virginia,Campbell County,2007,53769
109,Virginia,Campbell County,2008,54232
110,Virginia,Campbell County,2009,54472
111,Virginia,Campbell County,2010,54921
112,Virginia,Caroline County,2004,23920
113,Virginia,Caroline County,2005,25475
114,Virginia,Caroline County,2006,26722
115,Virginia,Caroline County,2007,27592
116,Virginia,Caroline County,2008,28011
117,Virginia,Caroline County,2009,28263
118,Virginia,Caroline County,2010,28631
119,Virginia,Carroll County,2004,29670
120,Virginia,Carroll County,2005,29660
121,Virginia,Carroll County,2006,29894
122,Virginia,Carroll County,2007,29933
123,Virginia,Carroll County,2008,30067
124,Virginia,Carroll County,2009,30002
125,Virginia,Carroll County,2010,30027
126,Virginia,Charles City County,2004,7050
127,Virginia,Charles City County,2005,7060
128,Virginia,Charles City County,2006,7156
129,Virginia,Charles City County,2007,7148
130,Virginia,Charles City County,2008,7232
131,Virginia,Charles City County,2009,7216
132,Virginia,Charles City County,2010,7271
133,Virginia,Charlotte County,2004,12524
134,Virginia,Charlotte County,2005,12631
135,Virginia,Charlotte County,2006,12731
136,Virginia,Charlotte County,2007,12680
137,Virginia,Charlotte County,2008,12654
138,Virginia,Charlotte County,2009,12588
139,Virginia,Charlotte County,2010,12568
140,Virginia,Chesterfield County,2004,283030
141,Virginia,Chesterfield County,2005,289998
142,Virginia,Chesterfield County,2006,298496
143,Virginia,Chesterfield County,2007,304636
144,Virginia,Chesterfield County,2008,309837
145,Virginia,Chesterfield County,2009,313096
146,Virginia,Chesterfield County,2010,317102
147,Virginia,Clarke County,2004,13413
148,Virginia,Clarke County,2005,13710
149,Virginia,Clarke County,2006,13939
150,Virginia,Clarke County,2007,13969
151,Virginia,Clarke County,2008,14092
152,Virginia,Clarke County,2009,14015
153,Virginia,Clarke County,2010,14052
154,Virginia,Craig County,2004,5142
155,Virginia,Craig County,2005,5139
156,Virginia,Craig County,2006,5158
157,Virginia,Craig County,2007,5212
158,Virginia,Craig County,2008,5167
159,Virginia,Craig County,2009,5120
160,Virginia,Craig County,2010,5208
161,Virginia,Culpeper County,2004,39670
162,Virginia,Culpeper County,2005,41894
163,Virginia,Culpeper County,2006,44076
164,Virginia,Culpeper County,2007,45527
165,Virginia,Culpeper County,2008,46056
166,Virginia,Culpeper County,2009,46236
167,Virginia,Culpeper County,2010,46850
168,Virginia,Cumberland County,2004,9223
169,Virginia,Cumberland County,2005,9465
170,Virginia,Cumberland County,2006,9596
171,Virginia,Cumberland County,2007,9762
172,Virginia,Cumberland County,2008,9849
173,Virginia,Cumberland County,2009,10013
174,Virginia,Cumberland County,2010,10056
175,Virginia,Dickenson County,2004,16003
176,Virginia,Dickenson County,2005,16111
177,Virginia,Dickenson County,2006,15958
178,Virginia,Dickenson County,2007,15971
179,Virginia,Dickenson County,2008,16078
180,Virginia,Dickenson County,2009,15925
181,Virginia,Dickenson County,2010,15897
182,Virginia,Dinwiddie County,2004,25770
183,Virginia,Dinwiddie County,2005,26149
184,Virginia,Dinwiddie County,2006,26590
185,Virginia,Dinwiddie County,2007,27078
186,Virginia,Dinwiddie County,2008,27694
187,Virginia,Dinwiddie County,2009,27888
188,Virginia,Dinwiddie County,2010,27995
189,Virginia,Essex County,2004,10238
190,Virginia,Essex County,2005,10445
191,Virginia,Essex County,2006,10576
192,Virginia,Essex County,2007,10739
193,Virginia,Essex County,2008,10920
194,Virginia,Essex County,2009,11104
195,Virginia,Essex County,2010,11167
196,Virginia,Fairfax County,2004,1010938
197,Virginia,Fairfax County,2005,1019490
198,Virginia,Fairfax County,2006,1018981
199,Virginia,Fairfax County,2007,1027727
200,Virginia,Fairfax County,2008,1044178
201,Virginia,Fairfax County,2009,1065142
202,Virginia,Fairfax County,2010,1086743
203,Virginia,Fauquier County,2004,61319
204,Virginia,Fauquier County,2005,62686
205,Virginia,Fauquier County,2006,63761
206,Virginia,Fauquier County,2007,64122
207,Virginia,Fauquier County,2008,64558
208,Virginia,Fauquier County,2009,64907
209,Virginia,Fauquier County,2010,65383
210,Virginia,Floyd County,2004,14371
211,Virginia,Floyd County,2005,14588
212,Virginia,Floyd County,2006,14762
213,Virginia,Floyd County,2007,14823
214,Virginia,Floyd County,2008,15101
215,Virginia,Floyd County,2009,15150
216,Virginia,Floyd County,2010,15316
217,Virginia,Fluvanna County,2004,23451
218,Virginia,Fluvanna County,2005,24318
219,Virginia,Fluvanna County,2006,24638
220,Virginia,Fluvanna County,2007,25134
221,Virginia,Fluvanna County,2008,25461
222,Virginia,Fluvanna County,2009,25576
223,Virginia,Fluvanna County,2010,25733
224,Virginia,Franklin County,2004,51001
225,Virginia,Franklin County,2005,51976
226,Virginia,Franklin County,2006,53037
227,Virginia,Franklin County,2007,54447
228,Virginia,Franklin County,2008,55284
229,Virginia,Franklin County,2009,55732
230,Virginia,Franklin County,2010,56191
231,Virginia,Frederick County,2004,67442
232,Virginia,Frederick County,2005,69921
233,Virginia,Frederick County,2006,72456
234,Virginia,Frederick County,2007,74670
235,Virginia,Frederick County,2008,76060
236,Virginia,Frederick County,2009,77477
237,Virginia,Frederick County,2010,78511
238,Virginia,Giles County,2004,16786
239,Virginia,Giles County,2005,16963
240,Virginia,Giles County,2006,17161
241,Virginia,Giles County,2007,17138
242,Virginia,Giles County,2008,17168
243,Virginia,Giles County,2009,17264
244,Virginia,Giles County,2010,17296
245,Virginia,Gloucester County,2004,35714
246,Virginia,Gloucester County,2005,36011
247,Virginia,Gloucester County,2006,36220
248,Virginia,Gloucester County,2007,36466
249,Virginia,Gloucester County,2008,36638
250,Virginia,Gloucester County,2009,36778
251,Virginia,Gloucester County,2010,36950
252,Virginia,Goochland County,2004,18570
253,Virginia,Goochland County,2005,19349
254,Virginia,Goochland County,2006,20176
255,Virginia,Goochland County,2007,20869
256,Virginia,Goochland County,2008,21285
257,Virginia,Goochland County,2009,21604
258,Virginia,Goochland County,2010,21745
259,Virginia,Grayson County,2004,16301
260,Virginia,Grayson County,2005,16153
261,Virginia,Grayson County,2006,16096
262,Virginia,Grayson County,2007,16066
263,Virginia,Grayson County,2008,15938
264,Virginia,Grayson County,2009,15696
265,Virginia,Grayson County,2010,15478
266,Virginia,Greene County,2004,16895
267,Virginia,Greene County,2005,17155
268,Virginia,Greene County,2006,17607
269,Virginia,Greene County,2007,17972
270,Virginia,Greene County,2008,18131
271,Virginia,Greene County,2009,18237
272,Virginia,Greene County,2010,18461
273,Virginia,Greensville County,2004,11428
274,Virginia,Greensville County,2005,12063
275,Virginia,Greensville County,2006,12048
276,Virginia,Greensville County,2007,12147
277,Virginia,Greensville County,2008,12206
278,Virginia,Greensville County,2009,12272
279,Virginia,Greensville County,2010,12234
280,Virginia,Halifax County,2004,36382
281,Virginia,Halifax County,2005,36340
282,Virginia,Halifax County,2006,36383
283,Virginia,Halifax County,2007,36338
284,Virginia,Halifax County,2008,36347
285,Virginia,Halifax County,2009,36293
286,Virginia,Halifax County,2010,36192
287,Virginia,Hanover County,2004,95295
288,Virginia,Hanover County,2005,96451
289,Virginia,Hanover County,2006,98025
290,Virginia,Hanover County,2007,98830
291,Virginia,Hanover County,2008,99404
292,Virginia,Hanover County,2009,99651
293,Virginia,Hanover County,2010,99948
294,Virginia,Henrico County,2004,280290
295,Virginia,Henrico County,2005,286441
296,Virginia,Henrico County,2006,291460
297,Virginia,Henrico County,2007,296408
298,Virginia,Henrico County,2008,300198
299,Virginia,Henrico County,2009,304763
300,Virginia,Henrico County,2010,307435
301,Virginia,Henry County,2004,56183
302,Virginia,Henry County,2005,55651
303,Virginia,Henry County,2006,55464
304,Virginia,Henry County,2007,55284
305,Virginia,Henry County,2008,55073
306,Virginia,Henry County,2009,54402
307,Virginia,Henry County,2010,54079
308,Virginia,Highland County,2004,2442
309,Virginia,Highland County,2005,2463
310,Virginia,Highland County,2006,2479
311,Virginia,Highland County,2007,2424
312,Virginia,Highland County,2008,2403
